billID,item,quantity
10,"Labatts Blue",1
100,Asahi,4
100,"Budvar Svetly Lezak",5
1000,"Potato skins",1
10000,Heineken,4
10000,"Root beer",4
10000,Sprite,2
10001,Sprite,3
10002,"Coca cola",3
10002,"Singha beer",5
10003,Carlsberg,3
10003,"Chimay Blue Top",1
10003,Peroni,1
10004,"Ichnusa beer",3
10005,"Budvar Svetly Lezak",5
10005,"Sweet tea",5
10005,"Tater tots",2
10006,Cheeseburger,1
10006,Dreher,1
10006,Guinness,4
10007,Cheeseburger,5
10007,Nachos,5
10007,"Potato skins",5
10008,"Coreff Ambree",3
10008,"Newcastle Brown Ale",5
10009,"Labatts Blue",2
10009,"San Miguel Pale Pilsen",2
10009,"Tiger beer",2
1001,Lowenbrau,2
1001,"Mythos Sindos",4
1001,"Tiger beer",4
10010,Lowenbrau,4
10010,Pretzel,5
10011,"Mythos Sindos",3
10011,"Sweet tea",2
10012,"Budvar Svetly Lezak",1
10012,Caffrey's,1
10012,"Club soda",1
10012,Coors,4
10013,"OB Golden Lager",5
10013,"Old Speckled Hen",3
10014,"Budvar Svetly Lezak",5
10014,Carlsberg,3
10014,"Ichnusa beer",4
10014,"Tiger beer",3
10015,"Club soda",4
10016,Tsingtao,4
10017,"Coreff Ambree",2
10017,Grolsch,1
10017,Hite,4
10018,Caffrey's,4
10018,Lasko,5
10018,"San Miguel Pale Pilsen",2
10018,"Singha beer",4
10019,"Potato skins",4
10020,Hite,4
10020,"Newcastle Brown Ale",2
10021,Dreher,3
10021,"Singha beer",4
10022,"Mythos Sindos",1
10022,Union,5
10023,"Beer Chang",5
10023,Carlsberg,3
10023,"Labatts Blue",4
10023,"Stiegl Bier",3
10024,"Root beer",4
10025,"Chimay Blue Top",3
10025,"Mozoralla sticks",2
10025,"Mythos Sindos",5
10026,Cass,2
10026,"San Miguel Pale Pilsen",3
10027,Caffrey's,4
10027,Timisoreana,1
10029,Carlsberg,1
10029,Dreher,2
10029,"Gambrinus Premium",3
10029,Warsteiner,2
1003,"Amstel Light",3
1003,Peroni,2
1003,"Singha beer",4
10030,"Erdinger Pikantus",5
10030,Tsingtao,5
10032,Caffrey's,1
10032,"Harp Lager",1
10032,"Tiger beer",4
10033,Caffrey's,2
10034,"Carling Black Label",3
10034,"Labatts Blue",2
10034,"Leffe Blonde",3
10034,"Potato skins",1
10035,Caffrey's,1
10035,"Carling Black Label",1
10036,Peroni,2
10036,"San Miguel Pale Pilsen",4
10037,"Club soda",3
10037,Lowenbrau,3
10037,"Potato skins",1
10037,Quesadilla,5
10038,Caffrey's,1
10039,"Chicken wings",1
10039,Lowenbrau,3
1004,Cass,1
1004,Coors,4
10040,Caffrey's,1
10040,Cass,5
10040,Lasko,3
10041,"Gambrinus Premium",3
10041,Grolsch,4
10041,"Potato skins",1
10042,Budweiser,4
10042,Guinness,1
10043,"San Miguel Pale Pilsen",3
10043,Sapporo,4
10044,"Carling Black Label",2
10044,Lowenbrau,5
10044,"Onion rings",4
10044,"Potato skins",1
10045,"Root beer",5
1005,Caffrey's,5
1005,"OB Golden Lager",3
1006,"Dos Equis",5
1007,Budweiser,1
1008,Lowenbrau,2
1008,Sprite,3
1009,Dreher,5
1009,Lasko,5
101,Carlsberg,5
1010,"Chicken wings",1
1010,"Harp Lager",3
1010,Lowenbrau,1
1010,Quesadilla,5
1011,Guinness,1
1011,Kirin,2
1011,"Labatts Blue",4
1012,"Dos Equis",5
1012,"Stiegl Bier",2
1012,"Sweet tea",5
1013,Coors,1
1013,"Labatts Blue",5
1013,Timisoreana,3
1014,Carlsberg,1
1014,"Chimay Blue Top",4
1014,"Tiger beer",5
1015,"Budvar Svetly Lezak",1
1015,"Mythos Sindos",1
1015,"Newcastle Brown Ale",5
1015,"OB Golden Lager",3
1017,Dreher,4
1017,"Erdinger Pikantus",2
